"year","stateabbr","statedesc","locationname","datasource","category","measure","data_value_unit","data_value_type","data_value","data_value_footnote_symbol","data_value_footnote","low_confidence_limit","high_confidence_limit","totalpopulation","locationid","categoryid","measureid","datavaluetypeid","short_question_text","brfssYr","totalpop18plus","geolocation"
2022,"MN","Minnesota","Minnesota","BRFSS","Health Outcomes","Arthritis among adults","%","Crude prevalence",24.7,NA,NA,24,25.3,999999999,99,"HLTHOUT","ARTHRITIS","CrdPrv","Arthritis",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Health Outcomes","Arthritis among adults","%","Age-adjusted prevalence",21.7,NA,NA,19.6,23.9,999999999,99,"HLTHOUT","ARTHRITIS","AgeAdjPrv","Arthritis",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence",10,NA,NA,8.9,11.1,999999999,99,"HLTHOUT","CASTHMA","CrdPrv","Current Asthma",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Health Outcomes","Current asthma among adults","%","Age-adjusted prevalence",10,NA,NA,9,11.2,999999999,99,"HLTHOUT","CASTHMA","AgeAdjPrv","Current Asthma",2022,NA,NA
2021,"MN","Minnesota","Minnesota","BRFSS","Health Outcomes","High blood pressure among adults","%","Crude prevalence",NA,NA,NA,NA,NA,999999999,99,"HLTHOUT","BPHIGH","CrdPrv","High Blood Pressure",2021,NA,NA
2021,"MN","Minnesota","Minnesota","BRFSS","Health Outcomes","High blood pressure among adults","%","Age-adjusted prevalence",NA,NA,NA,NA,NA,999999999,99,"HLTHOUT","BPHIGH","AgeAdjPrv","High Blood Pressure",2021,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Health Outcomes","Cancer (non-skin) or melanoma among adults","%","Age-adjusted prevalence",7.1,NA,NA,6.4,7.8,999999999,99,"HLTHOUT","CANCER","AgeAdjPrv","Cancer (non-skin) or Melanoma",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Health Outcomes","Cancer (non-skin) or melanoma among adults","%","Crude prevalence",8.4,NA,NA,7.6,9.2,999999999,99,"HLTHOUT","CANCER","CrdPrv","Cancer (non-skin) or Melanoma",2022,NA,NA
2021,"MN","Minnesota","Minnesota","BRFSS","Health Outcomes","High cholesterol among adults who have ever been screened","%","Crude prevalence",NA,NA,NA,NA,NA,999999999,99,"HLTHOUT","HIGHCHOL","CrdPrv","High Cholesterol",2021,NA,NA
2021,"MN","Minnesota","Minnesota","BRFSS","Health Outcomes","High cholesterol among adults who have ever been screened","%","Age-adjusted prevalence",NA,NA,NA,NA,NA,999999999,99,"HLTHOUT","HIGHCHOL","AgeAdjPrv","High Cholesterol",2021,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Health Outcomes","Chronic obstructive pulmonary disease among adults","%","Crude prevalence",5.6,NA,NA,5.1,6.2,999999999,99,"HLTHOUT","COPD","CrdPrv","COPD",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Health Outcomes","Chronic obstructive pulmonary disease among adults","%","Age-adjusted prevalence",4.9,NA,NA,4.4,5.4,999999999,99,"HLTHOUT","COPD","AgeAdjPrv","COPD",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Health Outcomes","Coronary heart disease among adults","%","Age-adjusted prevalence",5.3,NA,NA,4.8,5.9,999999999,99,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Health Outcomes","Coronary heart disease among adults","%","Crude prevalence",6.4,NA,NA,5.8,7,999999999,99,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Health Outcomes","Diagnosed diabetes among adults","%","Crude prevalence",10,NA,NA,8.8,11.3,999999999,99,"HLTHOUT","DIABETES","CrdPrv","Diabetes",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Health Outcomes","Diagnosed diabetes among adults","%","Age-adjusted prevalence",8.7,NA,NA,7.7,9.8,999999999,99,"HLTHOUT","DIABETES","AgeAdjPrv","Diabetes",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence",33.9,NA,NA,29.6,38.4,999999999,99,"HLTHOUT","OBESITY","CrdPrv","Obesity",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Health Outcomes","Obesity among adults","%","Age-adjusted prevalence",34,NA,NA,29.8,38.5,999999999,99,"HLTHOUT","OBESITY","AgeAdjPrv","Obesity",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Health Outcomes","All teeth lost among adults aged >=65 years","%","Crude prevalence",NA,NA,NA,NA,NA,999999999,99,"HLTHOUT","TEETHLOST","CrdPrv","All Teeth Lost",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Health Outcomes","All teeth lost among adults aged >=65 years","%","Age-adjusted prevalence",NA,NA,NA,NA,NA,999999999,99,"HLTHOUT","TEETHLOST","AgeAdjPrv","All Teeth Lost",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Health Outcomes","Stroke among adults","%","Age-adjusted prevalence",2.7,NA,NA,2.5,3,999999999,99,"HLTHOUT","STROKE","AgeAdjPrv","Stroke",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Health Outcomes","Stroke among adults","%","Crude prevalence",3.2,NA,NA,2.9,3.5,999999999,99,"HLTHOUT","STROKE","CrdPrv","Stroke",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Health Outcomes","Depression among adults","%","Crude prevalence",24.8,NA,NA,22.1,27.7,999999999,99,"HLTHOUT","DEPRESSION","CrdPrv","Depression",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Health Outcomes","Depression among adults","%","Age-adjusted prevalence",25.5,NA,NA,22.7,28.4,999999999,99,"HLTHOUT","DEPRESSION","AgeAdjPrv","Depression",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Prevention","Current lack of health insurance among adults aged 18-64 years","%","Crude prevalence",NA,NA,NA,NA,NA,999999999,99,"PREVENT","ACCESS2","CrdPrv","Health Insurance",2022,NA,NA
